name,start_time,duration,"data"
"Async Serial",1.06684718,0.00030436,"f"
"Async Serial",1.06716752,0.00030436,"5"
"Async Serial",1.06748786,0.00030436,"4"
"Async Serial",1.0678082,0.00030436,"5"
"Async Serial",1.06812856,0.00030436,"7"
"Async Serial",1.0684489,0.00030436,"8"
"Async Serial",1.06876924,0.00030436,"0"
"Async Serial",1.06908958,0.00030436,"6"
"Async Serial",1.06940992,0.00030436,"5"
"Async Serial",1.06973028,0.00030436,"f"
"Async Serial",1.07005062,0.00030436,"1"
"Async Serial",1.07037096,0.00030436,"d"
"Async Serial",1.0706913,0.00030436,"8"
"Async Serial",1.07101166,0.00030436,"b"
"Async Serial",1.071332,0.00030436,"b"
"Async Serial",1.07165234,0.00030436,"a"
"Async Serial",1.07197268,0.00030436,"8"
"Async Serial",1.07229304,0.00030436,"9"
"Async Serial",1.07261338,0.00030436,"8"
"Async Serial",1.07293372,0.00030436,"0"
"Async Serial",1.07325406,0.00030436,"1"
"Async Serial",1.0735744,0.00030436,"d"
"Async Serial",1.07389476,0.00030436,"3"
"Async Serial",1.0742151,0.00030436,"e"
"Async Serial",1.07453544,0.00030436,"f"
"Async Serial",1.07485578,0.00030436,"2"
